KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
A22.9;Antraks, neopredeljen;Anthrax, unspecified
A23;Bruceloza;Brucellosis
A23.0;Bruceloza, ki jo povzroča Brucella melitensis;Brucellosis due to Brucella melitensis
A23.1;Bruceloza, ki jo povzroča Brucella abortus;Brucellosis due to Brucella abortus
A23.2;Bruceloza, ki jo povzroča Brucella suis;Brucellosis due to Brucella suis
A23.3;Bruceloza, ki jo povzroča Brucella canis;Brucellosis due to Brucella canis
A23.8;Druge bruceloze;Other brucellosis
A23.9;Bruceloza, neopredeljena;Brucellosis, unspecified
A24;Nalezljiva smrkavost in smrkavosti podobna bolezen (melioidoza);Glanders and melioidosis
A24.0;Smrkavost;Glanders
A24.1;Akutna in fulminantna melioidoza;Acute and fulminating melioidosis
A24.2;Subakutna in kronična melioidoza;Subacute and chronic melioidosis
A24.3;Druge melioidoze;Other melioidosis
A24.4;Melioidoza, neopredeljena;Melioidosis, unspecified
A25;Vročice zaradi ugriza podgane;Rat-bite fevers
A25.0;Spiriloza;Spirillosis
A25.1;Streptobaciloza;Streptobacillosis
A25.9;Vročica zaradi ugriza podgane, neopredeljena;Rat-bite fever, unspecified
A26;Svinjska rdečica (erizipeloid);Erysipeloid
A26.0;Kožni erizipeloid;Cutaneous erysipeloid
A26.7;Sepsa, ki jo povzroča Erysipelothrix;Erysipelothrix sepsis
A26.8;Druge oblike erizipeloida;Other forms of erysipeloid
A26.9;Erizipeloid, neopredeljen;Erysipeloid, unspecified
A27;Leptospiroza;Leptospirosis
A27.0;Ikterohemoragična leptospiroza;Leptospirosis icterohaemorrhagica
A27.8;Druge oblike leptospiroze;Other forms of leptospirosis
A27.9;Leptospiroza, neopredeljena;Leptospirosis, unspecified
A28;Druge bakterijske zoonoze, ki niso uvrščene drugje;Other zoonotic bacterial diseases, not elsewhere classified
A28.0;Pastereloza;Pasteurellosis
A28.1;Bolezen zaradi mačje opraskanine;Cat-scratch disease
A28.2;Zunajčrevesna jersinioza;Extraintestinal yersiniosis
A28.8;Druge opredeljene bakterijske zoonoze, ki niso uvrščene drugje;Other specified zoonotic bacterial diseases, not elsewhere classified
A28.9;Bakterijska zoonoza, neopredeljena;Zoonotic bacterial disease, unspecified
A30;Gobavost (lepra)  [Hansenova bolezen];Leprosy [Hansen's disease]
A30.0;Neopredeljena gobavost;Indeterminate leprosy
A30.1;Gobavi tuberkuloid;Tuberculoid leprosy
A30.2;Mejna tuberkuloidna gobavost;Borderline tuberculoid leprosy
A30.3;Mejna gobavost;Borderline leprosy
A30.4;Mejna lepromatozna gobavost;Borderline lepromatous leprosy
A30.5;Lepromatozna gobavost;Lepromatous leprosy
A30.8;Druge oblike gobavosti;Other forms of leprosy
A30.9;Gobavost, neopredeljena;Leprosy, unspecified
A31;Infekcija, ki jo povzročajo druge vrste mikobakterij;Infection due to other mycobacteria
A31.0;Pljučna mikobakterijska infekcija;Pulmonary mycobacterial infection
A31.1;Kožna mikobakterijska infekcija;Cutaneous mycobacterial infection
A31.8;Druge mikobakterijske infekcije;Other mycobacterial infections
A31.9;Mikobakterijska infekcija, neopredeljena;Mycobacterial infection, unspecified
A32;Listerioza;Listeriosis
A32.0;Kožna listerioza;Cutaneous listeriosis
A32.1;Listerijski meningitis in meningoencefalitis;Listerial meningitis and meningoencephalitis
A32.7;Listerijska sepsa;Listerial sepsis
A32.8;Druge oblike listerioze;Other forms of listeriosis
A32.9;Listerioza, neopredeljena;Listeriosis, unspecified
A33;Tetanus novorojenčkov;Tetanus neonatorum
A34;Obporodni tetanus;Obstetrical tetanus
A35;Druge vrste tetanus;Other tetanus
A36;Davica (difterija) ;Diphtheria
A36.0;Davica v žrelu;Pharyngeal diphtheria
A36.1;Davica v nosu in žrelu;Nasopharyngeal diphtheria
A36.2;Davica v grlu;Laryngeal diphtheria
A36.3;Davica kože;Cutaneous diphtheria
A36.8;Druge vrste davica;Other diphtheria
A36.9;Davica, neopredeljena;Diphtheria, unspecified
A37;Oslovski kašelj;Whooping cough
A37.0;Oslovski kašelj, ki ga povzroča Bordetella pertussis;Whooping cough due to Bordetella pertussis
A37.1;Oslovski kašelj, ki ga povzroča Bordetella parapertussis;Whooping cough due to Bordetella parapertussis
A37.8;Oslovski kašelj, ki ga povzročajo druge bakterije iz vrste Bordetella;Whooping cough due to other Bordetella species
A37.9;Oslovski kašelj, neopredeljen;Whooping cough, unspecified
A38;Škrlatinka;Scarlet fever
A39;Meningokokna infekcija;Meningococcal infection
A39.0;Meningokokni meningitis;Meningococcal meningitis
A39.1;Waterhouse-Friderichsenov sindrom (E35.1*);Waterhouse-Friderichsen syndrome (E35.1*)
A39.2;  Akutna meningokokemija;Acute meningococcaemia
A39.3;Kronična meningokokemija;Chronic meningococcaemia
A39.4;Meningokokemija, neopredeljena;Meningococcaemia, unspecified
A39.5;Meningokokna bolezen srca;Meningococcal heart disease
A39.8;Druge meningokokne infekcije;Other meningococcal infections
A39.9;Meningokokna infekcija, neopredeljena;Meningococcal infection, unspecified
A40;Streptokokna sepsa;Streptococcal sepsis
A40.0;Sepsa, ki jo povzroča streptokok skupine A;Sepsis due to streptococcus, group A
A40.1;Sepsa, ki jo povzroča streptokok skupine B;Sepsis due to streptococcus, group B
A40.2;Sepsa, ki jo povzroča streptokok skupine D;Sepsis due to streptococcus, group D
A40.3;Sepsa, ki jo povzroča Streptococcus pneumoniae;Sepsis due to Streptococcus pneumoniae
A40.8;Druge vrste streptokokna sepsa;Other streptococcal sepsis
A40.9;Streptokokna sepsa, neopredeljena;Streptococcal sepsis, unspecified
A41;Druge sepse;Other sepsis
A41.0;Sepsa, ki jo povzroča Staphylococcus aureus;Sepsis due to Staphylococcus aureus
A41.1;Sepsa zaradi kakega drugega opredeljenega stafilokoka;Sepsis due to other specified staphylococcus
A41.2;Sepsa, ki jo povzroča neopredeljeni stafilokok;Sepsis due to unspecified staphylococcus
A41.3;Sepsa, ki jo povzroča Haemophylus influenzae;Sepsis due to Haemophilus influenzae
A41.4;Sepsa, ki jo povzročajo anaerobi;Sepsis due to anaerobes
A41.5;Sepsa zaradi drugih ali neopredeljenih gramnegativnih mikroorganizmov;Sepsis due to other and unspecified Gram-negative organisms
A41.50;Sepsa, ki jo povzročajo neopredeljeni gramnegativni mikroorganizmi;Sepsis due to unspecified Gram-negative organisms
A41.51;Sepsa, ki jo povzroča E. coli;Sepsis due to Escherichia coli [E. Coli]
A41.52;Sepsa, ki jo povzroča bakterija Pseudomonas;Sepsis due to Pseudomonas
A41.58;Sepsa, ki jo povzročajo drugi gramnegativni mikroorganizmi;Sepsis due to other Gram-negative organisms
A41.8;Druge vrste opredeljena sepsa;Other specified sepsis
A41.9;Sepsa, neopredeljena;Sepsis, unspecified
A42;Aktinomikoza;Actinomycosis
A42.0;Pljučna aktinomikoza;Pulmonary actinomycosis
A42.1;Trebušna aktinomikoza;Abdominal actinomycosis
A42.2;Aktinomikoza vratu in obraza;Cervicofacial actinomycosis
A42.7;Septična aktinomikoza;Actinomycotic sepsis
A42.8;Druge oblike aktinomikoze;Other forms of actinomycosis
A42.9;Aktinomikoza, neopredeljena;Actinomycosis, unspecified
A43;Nokardioza;Nocardiosis
A43.0;Pljučna nokardioza;Pulmonary nocardiosis
A43.1;Kožna nokardioza;Cutaneous nocardiosis
A43.8;Druge oblike nokardioze;Other forms of nocardiosis
A43.9;Nokardioza, neopredeljena;Nocardiosis, unspecified
A44;Bartoneloza;Bartonellosis
A44.0;Sistemska bartoneloza;Systemic bartonellosis
A44.1;Kožna in kožnosluznična bartoneloza;Cutaneous and mucocutaneous bartonellosis
A44.8;Druge oblike bartoneloze;Other forms of bartonellosis
A44.9;Bartoneloza, neopredeljena;Bartonellosis, unspecified
A46;Erizipel (šen);Erysipelas
A48;Druge bakterijske bolezni, ki niso uvrščene drugje;Other bacterial diseases, not elsewhere classified
A48.0;Plinska gangrena;Gas gangrene
A48.1;Legioneloza (legionarska bolezen);Legionnaires' disease
A48.2;Legioneloza (legionarska bolezen) brez pljučnice [pontiaška vročica];Nonpneumonic Legionnaires' disease [Pontiac fever]
A48.3;Sindrom toksičnega šoka;Toxic shock syndrome
A48.4;Brazilska pupurna vročica;Brazilian purpuric fever
A48.8;Druge opredeljene bakterijske bolezni;Other specified bacterial diseases
A49;Bakterijske infekcije na neopredeljenih mestih;Bacterial infection of unspecified site
A49.0;Stafilokokna infekcija, neopredeljena;Staphylococcal infection, unspecified site
A49.1;Streptokokna infekcija, neopredeljena;Streptococcal infection, unspecified site
A49.2;Infekcija, ki jo povzroča Haemophilus influenzae, neopredeljena;Haemophilus influenzae infection, unspecified site
A49.3;Infekcija zaradi mikoplazme, neopredeljena;Mycoplasma infection, unspecified site
A49.8;Druge bakterijske infekcije na neopredeljenih mestih;Other bacterial infections of unspecified site
A49.9;Bakterijska infekcija, neopredeljena;Bacterial infection, unspecified
A50;Prirojeni sifilis;Congenital syphilis
A50.0;Zgodnji prirojeni sifilis, s simptomi;Early congenital syphilis, symptomatic
A50.1;Zgodnji prirojeni sifilis, latenten;Early congenital syphilis, latent
A50.2;Zgodnji prirojeni sifilis, neopredeljen;Early congenital syphilis, unspecified
A50.3;Okvara očesa pri poznem prirojenem sifilisu;Late congenital syphilitic oculopathy
A50.4;Pozni prirojeni nevrosifilis [juvenilni nevrosifilis];Late congenital neurosyphilis [juvenile neurosyphilis]
A50.5;Druge vrste pozni prirojeni sifilis, s simptomi;Other late congenital syphilis, symptomatic
A50.6;Pozni prirojeni sifilis, latenten;Late congenital syphilis, latent
A50.7;Pozni prirojeni sifilis, neopredeljen;Late congenital syphilis, unspecified
A50.9;Prirojeni sifilis, neopredeljen;Congenital syphilis, unspecified
A51;Zgodnji sifilis;Early syphilis
A51.0;Primarno genitalni sifilis;Primary genital syphilis
A51.1;Primarno analni sifilis;Primary anal syphilis
A51.2;Primarno ekstragenitalni sifilis;Primary syphilis of other sites
A51.3;Sekundarni sifilis kože in sluznic;Secondary syphilis of skin and mucous membranes
A51.4;Druge vrste sekundarni sifilis;Other secondary syphilis
A51.5;Zgodnji sifilis, latenten;Early syphilis, latent
A51.9;Zgodnji sifilis, neopredeljen;Early syphilis, unspecified
A52;Pozni sifilis;Late syphilis
A52.0;Kardiovaskularni sifilis;Cardiovascular syphilis (I98.0*)
A52.1;Nevrosifilis s simptomi;Symptomatic neurosyphilis
A52.2;Nevrosifilis brez simptomov;Asymptomatic neurosyphilis
A52.3;Nevrosifilis, neopredeljen;Neurosyphilis, unspecified
A52.7;Druge vrste pozni sifilis, s simptomi;Other symptomatic late syphilis
A52.8;Pozni sifilis, latenten;Late syphilis, latent
A52.9;Pozni sifilis, neopredeljen;Late syphilis, unspecified
A53;Druge vrste neopredeljeni sifilis;Other and unspecified syphilis
A53.0;Latentni sifilis, ki ni opredeljen kot zgodnji ali pozni;Latent syphilis, unspecified as early or late
A53.9;Sifilis, neopredeljen;Syphilis, unspecified
A54;Gonokokna infekcija;Gonococcal infection
A54.0;Gonokokna infekcija spodnjega genitourinarnega trakta brez abscesa periuretralnih ali akcesornih žlez;Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54.1;Gonokokna infekcija spodnjega genitourinarnega trakta z abscesom periuretralnih ali akcesornih žlez;Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.2;Gonokokni pelviperitonitis in druge gonokokne genitourinarne infekcije;Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A54.3;Gonokokna infekcija očesa;Gonococcal infection of eye
A54.4;Gonokokna infekcija mišičnoskeletnega sistema;Gonococcal infection of musculoskeletal system
A54.5;Gonokokni faringitis;Gonococcal pharyngitis
A54.6;Gonokokna infekcija anusa in rektuma ;Gonococcal infection of anus and rectum
A54.8;Druge gonokokne infekcije;Other gonococcal infections
A54.9;Gonokokna infekcija, neopredeljena;Gonococcal infection, unspecified
A55;Klamidijski limfogranulom (venerični);Chlamydial lymphogranuloma (venereum)
A56;Druge klamidijske bolezni, pretežno spolno prenesene;Other sexually transmitted chlamydial diseases
A56.0;Klamidijska infekcija spodnjega genitourinarnega trakta;Chlamydial infection of lower genitourinary tract
A56.1;Klamidijska infekcija pelviperitoneja in drugih genitourinarnih organov;Chlamydial infection of pelviperitoneum and other genitourinary organs
A56.2;Klamidijska infekcija genitourinarnega trakta, neopredeljena;Chlamydial infection of genitourinary tract, unspecified
A56.3;Klamidijska infekcija anusa in rektuma;Chlamydial infection of anus and rectum
A56.4;Klamidijska infekcija farinksa;Chlamydial infection of pharynx
A56.8;Spolno prenesena klamidijska infekcija na drugih mestih;Sexually transmitted chlamydial infection of other sites
A57;Mehki čankar;Chancroid
A58;Granuloma inguinale;Granuloma inguinale
A59;Trihomonioza;Trichomoniasis
A59.0;Urogenitalna trihomonioza;Urogenital trichomoniasis
A59.8;Trihomonioza na drugih mestih;Trichomoniasis of other sites
A59.9;Trihomonioza, neopredeljena;Trichomoniasis, unspecified
A60;Anogenitalna herpesvirusna infekcija [herpes simplex];Anogenital herpesviral [herpes simplex] infection
A60.0;Herpesvirusna infekcija spolovil in urogenitalnega trakta;Herpesviral infection of genitalia and urogenital tract
A60.1;Herpesvirusna infekcija perianalne kože in rektuma;Herpesviral infection of perianal skin and rectum
A60.9;Anogenitalna herpesvirusna infekcija, neopredeljena;Anogenital herpesviral infection, unspecified
A63;Druge, pretežno spolno prenesene bolezni, ki niso uvrščene drugje;Other predominantly sexually transmitted diseases, not elsewhere classified
A63.0;Anogenitalne (venerične) bradavice;Anogenital (venereal) warts
A63.8;Druge opredeljene, pretežno spolno prenesene bolezni;Other specified predominantly sexually transmitted diseases
A64;Neopredeljene spolno prenesene bolezni;Unspecified sexually transmitted disease
A65;Nevenerični sifilis;Nonvenereal syphilis
A66;Frambezija;Yaws
A66.0;Začetne lezije frambezije;Initial lesions of yaws
A66.1;Multipli papilomi in mokra frambezija;Multiple papillomata and wet crab yaws
A66.2;Druge zgodnje kožne frambezijske lezije;Other early skin lesions of yaws
A66.3;Frambezijska hiperkeratoza;Hyperkeratosis of yaws
A66.4;Frambezijska guma in ulkusi;Gummata and ulcers of yaws
A66.5;Gangosa;Gangosa
A66.6;Frambezijske lezije kosti in sklepov;Bone and joint lesions of yaws
A66.7;Drugi znaki frambezije;Other manifestations of yaws
A66.8;Latentna frambezija;Latent yaws
A66.9;Frambezija, neopredeljena;Yaws, unspecified
A67;Pinta [karate];Pinta [carate]
A67.0;Primarne lezije pinte;Primary lesions of pinta
A67.1;Intermediarne lezije pinte;Intermediate lesions of pinta
A67.2;Pozne lezije pinte;Late lesions of pinta
A67.3;Mešane lezije pinte;Mixed lesions of pinta
A67.9;Pinta, neopredeljena;Pinta, unspecified
A68;Povratne mrzlice;Relapsing fevers
A68.0;Povratna mrzlica, ki jo prenašajo uši;Louse-borne relapsing fever
A68.1;Povratna mrzlica, ki jo prenašajo klopi;Tick-borne relapsing fever
A68.9;Povratna mrzlica, neopredeljena;Relapsing fever, unspecified
A69;Druge infekcije, ki jih povzročajo spirohete;Other spirochaetal infections
A69.0;Nekrotizirajoči ulcerativni stomatitis;Necrotising ulcerative stomatitis
A69.1;Druge Vincentove infekcije;Other Vincent's infections
A69.2;Lymska borelioza;Lyme disease
A69.8;Druge opredeljene infekcije, ki jih povzročajo spirohete;Other specified spirochaetal infections
A69.9;Infekcija, ki jih povzročajo spirohete, neopredeljena;Spirochaetal infection, unspecified
A70;Infekcija, ki jo povzroča Chlamydia psittaci;Chlamydia psittaci infection
A71;Trahom;Trachoma
A71.0;Začetni stadij trahoma;Initial stage of trachoma
A71.1;Aktivni stadij trahoma;Active stage of trachoma
A71.9;Trahom, neopredeljen;Trachoma, unspecified
A74;Druge bolezni, ki jih povzročajo klamidije;Other diseases caused by chlamydiae
A74.0;Klamidijski konjunktivitis;Chlamydial conjunctivitis
A74.8;Druge klamidijske bolezni;Other chlamydial diseases
A74.9;Klamidijska infekcija, neopredeljena;Chlamydial infection, unspecified
A75;Pegasti tifus [rikecijski tifus];Typhus fever
A75.0;Epidemična pegavica, ki jo prenašajo uši in jo povzroča Rickettsia prowazekii;Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A75.1;Povratna pegavica [Brillova bolezen];Recrudescent typhus [Brill's disease]
A75.2;Pegavica, ki jo povzroča Rickettsia typhi;Typhus fever due to Rickettsia typhi
A75.3;Pegavica, ki jo povzroča Rickettsia tsutsugamushi;Typhus fever due to Rickettsia tsutsugamushi
A75.9;Pegasti tifus, neopredeljen;Typhus fever, unspecified
A77;Pegavica, ki jo prenaša klop [rikecioze, ki jih prenaša klop];Spotted fever [tick-borne rickettsioses]
A77.0;Pegavica, ki jo povzroča Rickettsia rickettsii;Spotted fever due to Rickettsia rickettsii
A77.1;Pegavica, ki jo pozroča Rickettsia conorii;Spotted fever due to Rickettsia conorii
A77.2;Pegavica, ki jo povzroča Rickettsia siberica;Spotted fever due to Rickettsia siberica
